ACCURA	命中率
BANK2	BANKJOB MISSION 2
BANK3	BANKJOB MISSION 3
BANKBUY	购买马里布俱乐部花费：$~1~
BANKINT	El Banco Corrupto Grande
BANK_1	无路可逃？
BANK_2	神枪手菲尔
BANK_3	司机传说
BANK_4	罪城大劫案
BANK_C	按~h~~k~~PED_ANSWER_PHONE~ ~w~购入马里布俱乐部。花费$~1~
BANK_L	按~h~~k~~PED_ANSWER_PHONE~ ~w~购入马里布俱乐部。花费$~1~
BANK_NO	以你目前的势力来看，购买马里布俱乐部是异想天开啊。继续完成主线任务吧。
BANK_T	按~h~~k~~PED_ANSWER_PHONE~~w~购入马里布俱乐部。花费$~1~
BANSHEE	Banshee
BARRCKS	Barracks OL
BASEBAT	棒球棍
BEACH1	大洋海滩
BEACH2	华盛顿海滩
BEACH3	罪城之角
BENSON	Benson
BFINJC	BF Injection
BIKE	THE BIKER GANG MISSIONS
BIKE1	BIKER MISSION 1
BIKE2	BIKER MISSION 2
BIKE3	BIKER MISSION 3
BIKE_1	钢铁之轮
BIKE_2	鸡飞狗跳
BIKE_3	侠盗猎车
BJM2_21	~g~射击目标，直到子弹用尽。
BJM3_1	~g~找一辆快车，驶向起点！
BK4_40A	回头再找他算账！
BLISTAC	Blista Compact
BLODRNG	BLOODRING
BLOODRA	Bloodring Banger
BLOODRB	Bloodring Banger
BMXFAIL	~r~没能突破现有记录，再接再厉吧！
BMXRAIN	~g~好像在下雨…
BMXREW1	~g~每刷新一次记录
BMXREW2	~g~便可获得更多~y~赏金~g~喔！
BMX_1	泥径赛道
BMX_2	曲径赛道
BMX_HOW	~g~穿越~y~检查点~g~。在泥泞的跑道中完成两圈。
BMX_REC	~g~新纪录：~1~！
BNK1_1	有何吩咐，先生？
BNK1_2	劫匪是乔装打扮的！
BNK1_3	他疯了！
BNK1_4	妈的你是谁？
BNK1_5	你的证件呢？
BNK1_6	在那里！开火宰了他们！
BNK2_6	这家伙真是疯了！
BNK3_2	要我当你的私人司机可没门。我是给大伙开车的。
BNK450A	我之前跟你说什么来着，汤米？ 只要肯特·保罗大驾光临，斯沃特孙子们就有得好看了！
BNK450B	拜托，钱再多给一些嘛，伙计。我想多买几件衣服！
BNK4_26	干！他们来了！
BNK4_2A	车展中心的小子们干得不错。
BNK4_32	炸开保险箱！
BNK4_36	卡姆去哪了？
BNK4_37	见阎王了…
BNK4_38	最后一步了！加油！
BNK4_3G	该死的，条子追上来了！
BNK4_3H	…可我们连到都没到。
BNK4_3K	得先把条子甩掉…
BNK4_3L	天啊汤米，你是不是打算把我们全阴了？
BNK4_3N	每一件事都办砸了！
BNK4_42	伙计们！进车！我殿后！
BNK4_43	我掩护，走！
BNK4_44	成功了！钱到手了！到手了！
BNK4_45	可惜卡姆没挺过来…他人其实不错…
BNK4_46	是啊…不过分到的钱也变多啦！
BNK4_47	干，你也太直接了吧！耶！
BNK4_48	汤米，想不想来保健？
BNK4_49	嗨，梅赛德斯！啊，我有点小紧张…
BNK4_51	我觉得你还好。
BNK_39	操！希拉里死哪去了？！
BOATBUY	购买船厂花费：$~1~
BOATYAR	船厂
BOAT_A2	船厂的资产任务完成
BOAT_AS	~g~船厂每日最高营业额$~1~，别忘了来取。
BOAT_C	按~h~~k~~PED_ANSWER_PHONE~~w~购入船厂。花费$~1~
BOAT_L	按~h~~k~~PED_ANSWER_PHONE~~w~购入船厂。花费$~1~
BOAT_N	傻瓜收集
BOAT_NO	以你目前的势力来看，购买船厂是异想天开啊。继续完成主线任务吧。
BOAT_P	~g~在时限内收集包裹！
BOAT_T	按~h~~k~~PED_ANSWER_PHONE~~w~购入船厂。花费$~1~
BOA_EXP	船只摧毁数
BOBCAT	Bobcat
BOLLOX	按~h~~k~~VEHICLE_HANDBRAKE~~w~安置炸弹。按~h~~k~~VEHICLE_ENTER_EXIT~~w~取消。
BONUS	~g~赏金 $~1~
BOXVILL	Boxville
BRIBE1	拾取贿赂图标可减少一颗警星。
BRID_CL	风暴警报：通向“罪恶都市主岛”的桥梁已被全部封锁。
BRID_OP	风暴警报解除：通向“罪恶都市主岛”的桥梁已可继续通行！
BSTSTU	目前的最佳疯狂特技
BUD_1	江湖易主
BUD_2	酒馆乱斗
BUD_3	警察乐园
BUL_FIR	射击总数
BUL_HIT	射击命中数
BURRITO	Burrito
BUS	Bus
BUSTED	被捕！
BUYGARG	~g~车库可保存载具。
BUYGARS	~g~车库可保存载具。
BUYSAVE	~g~未进行任务时，可在存盘点保存游戏进度！
CABBIE	Cabbie
CADDY	Caddy
CAP_1	山雨欲来 风满楼
CARBUY	购买阳光车行花费：$~1~
CARSOFF	停车次数
CARS_ON	开车次数
CAR_1	Ambulance
CAR_AS1	阳光车行的资产任务完成
CAR_AS2	~g~阳光车行每日最高营业额$~1~，别忘了来取。
CAR_C	按~h~~k~~PED_ANSWER_PHONE~~w~购入阳光车行。花费$~1~
CAR_EXP	车辆摧毁数
CAR_L	按~h~~k~~PED_ANSWER_PHONE~~w~购入阳光车行。花费$~1~
CAR_NO	以你目前的势力来看，购买阳光车行是异想天开啊。继续完成主线任务吧。
CAR_T	按~h~~k~~PED_ANSWER_PHONE~~w~购入阳光车行。花费$~1~
CDERROR	读取Grand Theft Auto： Vice City的DVD时发生错误
CHAINSA	电锯
CHASE	媒体对你的最高关注度
CHASE1	根本不屌你
CHASE10	当地电视台 直播
CHASE11	UFA今日报 第十二页
CHASE12	UFA今日报 第四页
CHASE13	UFA今日报 带图
CHASE14	国家电视台 凌晨四点
CHASE15	国家电视台 急讯
CHASE16	国家电视台 直播
CHASE17	国际新闻
CHASE18	震惊全国的大新闻
CHASE19	震惊全球的大新闻
CHASE2	发觉了但是懒得写新闻稿
CHASE20	震惊全球的大新闻
CHASE21	传奇员工！
CHASE3	有点想写新闻了
CHASE4	当地报纸 第七页
CHASE5	当地报纸 头版
CHASE6	罪城速递报 第二页
CHASE7	罪城速递报 头版
CHASE8	当地电视台 凌晨三点
CHASE9	当地电视台 急讯
CHEAT1	作弊码激活
CHEAT2	武器作弊码激活！
CHEAT3	生命作弊码激活！
CHEAT4	防弹衣作弊码激活！
CHEAT5	警星作弊码激活！
CHEAT6	金钱作弊码激活！
CHEAT7	天气作弊码激活！
CHEATOF	作弊模式 关
CHEATON	作弊模式 开
CHEETAH	Cheetah
CHERRYP	激爽冰淇淋厂
CHSE	CHASE
CINCAM	电影镜头模式
CLEVER	菜刀
CLOHELP	新服装如何？
CLOTH1	宴会西装现已可以在刚刚拜访过的“拉斐尔时装店”（Rafael's）更换。
CLOTH10	劫匪装现已可以在罪城之角的马里布俱乐部更换。
CLOTH2	街头便装现已可以在家更换。
CLOTH3	工装现已可以在北角购物中心的“Tooled Up”时装店更换。
CLOTH4	高尔夫装现已可以在刚刚去过的高尔夫俱乐部门口更换。
CLOTH5	古巴帮制服现已可以在刚刚拜访过的的“Little Havana Streetwear”时装店更换。
CLOTH6	警服现已可以在警察局更换。
CLOTH7	休闲便装现已可以在北角购物中心的“Gash”时装店更换。
CLOTH8	汤米的个人西装现已可以在大洋海滩的“Collar & Cuffs”时装店更换。
CLOTH9	运动服现已可以在市中心的“Jocksport”运动时装店更换。
CLT_HL2	更换衣物可消除至多两颗警星。
CNT2_1	杀了他。
CNT2_2	拿到印刷版！
CNT2_3	保护递送员！
CNTBUY1	购买印刷厂花费：$~1~
CNT_1	泄露天机
CNT_2	急停递运
COACH	Coach
COASTG	Coast Guard
COASTMA	Coastguard Maverick
COK1_3	真心祝你冚家铲！
COK1_6	鸡巴玩意真他妈恶心。
COK2_10	你确定动手不动口？
COK2_11	谢了，你这人性格很讨喜嘛。
COK2_12	我懂，汤米。
COK2_18	你喜欢肯尼·罗根斯。
COK2_19	操，我蛮喜欢这片的…
COK2_26	~r~你怎么把兰斯杀了？！
COK2_7	看见那些标志了吗？把那些灯打掉！
COK3_1	别开枪，伙计！
COK3_2	里面是什么？
COK3_3	他要跑了。混账！
COK3_4	来人啊！有人偷船！来人啊！
COK4_10	他们就是一群废柴和鱼饵。
COK4_11	成功了！对手们明显不是人民币玩家嘛！
COK4_17	他们很难过嘛！
COK4_18	妈的我鞋都湿了！进水了！
COK4_2	啊。
COK4_21	前面有座桥！
COK4_22	快跑！要爆炸了！
COK4_23	好枪法。
COK4_29	~r~你把兰斯杀了。
COK4_6	你知道要去哪里吗？
COK4_7	我们迷路了？
COK4_8	对手来了！
COK4_9	宰了他们！
COK4_9A	是时候施展兰斯·万斯的舞步了！
COK4_W	最后一波了！
COK4_X	我要开始了！
COK4_Y	来新朋友啦。
COKE	THE COKE BARON MISSIONS
COK_1	千里追凶
COK_2	一九八六  金边
COK_3	最速赛艇
COK_4	亦可赛艇
COL2_6	beta
COL2_6B	beta
COL2_6C	beta
COL2_9	你个美国蠢猪！他们跟踪你到这里来了！
COL3_A	beta
COL3_B	请原谅我直奔主题。
COL3_C	迪亚兹拜托我监管一笔交易。
COL3_D	“希望这次比上次更有保障”？
COL3_E	因此我认为你能胜任，朋友。
COL3_F	我在多层停车场准备了些家伙。
COL3_G	过去带上装备，保护好迪亚兹的人。
COL4_10	吃点甜甜圈吧。
COL4_16	同志！不要螳臂当车！
COL4_2	不懂，长官！
COL4_25	车辆自毁功能已启动！
COL4_5	是！长官！
COL5_17	天哪！他们开直升机来了！
COL5_18	把直升机打下来！
COL5_19	汤米。解决直升机！
COL5_20	又来了！把直升机打下来！
COL5_21	好大一架飞机！
COL5_22	又来了！
COL5_5	去死吧！法国鬼子！
COL5_6	梅赛德斯，我总是挂念着她啊…
COL5_8	王八羔子！
COL_1	奸诈的肥猪
COL_2	商场交火
COL_3	守护天使
COL_4	是，长官！
COL_5	全员就位！
COMET	Comet
COM_ZON	罪恶都市主岛
COP_M	义务警员任务
COP_M2	'VICE SQUAD'
COP_M3	'BROWN THUNDER'
COUNT	COUNTERFEITING MISSIONS
COUNT1	COUNTERFEITING MISSION 1
COUNT2	COUNTERFEITING MISSION 2
CO_ALL	隐藏包裹全部收集完毕！大礼已经为你准备好了！
CO_ONE	隐藏包裹！ ~1~ ／ ~1~
CRD001A	STUDIO DIRECTOR
CRD001B	ANDREW SEMPLE
CRD002A	DEVELOPMENT DIRECTOR
CRD013A	IMRAN SARWAR
CRD013B	JAMES WORRALL
CRD013C	JOHN HAIME
CRD018A	CHARACTER DESIGNER
CRD019A	TOKS SOLARIN
CRD019B	ALAN DAVIDSON
CRD022A	ANIMATORS
CRD022B	DUNCAN SHIELDS
CRD022C	GUS BRAID
CRD023A	JOLYON ORME
CRD023B	ALAN DUNCAN
CRD024A	LEAD VEHICLE DESIGNER
CRD031A	STEVEN MULHOLLAND
CRD031B	WAYLAND STANDING
CRD031C	CAMPBELL J. DICK
CRD031D	GRAPHIC DESIGNER
CRD031E	STUART PETRI
CRD032A	PROGRAMMERS
CRD037A	ALAN CAMPBELL
CRD037B	MARK HANLON
CRD037C	ANDRZEJ MADAJCZYK
CRD041A	AUDIO ENGINEER
CRD041B	AUDIO
CRD042A	WILL MORTON
CRD056A	GEORGE WILLIAMSON
CRD056B	MATT JONES
CRD056C	ROB HARBOUR
CRD056D	TOM WHITTAKER
CRD057A	TECHNICAL SUPPORT
CRD060A	OFFICE SUPPORT
CRD060B	KIM GURNEY
CRD060C	CASSIE OLIVER
CRD071A	DIRECTOR OF QUALITY ASSURANCE
CRD072A	JEFF ROSA
CRD084A	DANIEL EINZIG
CRD084B	JACEN BURROWS
CRD084C	LINN PR
CRD084D	COVER ART
CRD084E	STEPHEN BLISS
CRD086A	PRODUCED BY ADAM TEDMAN
CRD088A	ADAM TEDMAN
CRD088B	DAVID YU
CRD088C	JERRY LUNA
CRD088D	STUART PETRI
CRD088E	MICHAEL CARNEVALE
CRD088F	GREG LAU
CRD088G	FUTABA HAYASHI
CRD092A	JOE HOWELL
CRD092B	MARC FERNANDEZ
CRD098A	ELIZABETH SATTERWHITE
CRD098B	JAMEEL VEGA
CRD098C	MIKE HONG
CRD110A	TALENT PROCUREMENT: JAMIE KING, SEAN MACALUSO
CRD111A	SUPPORTING CHARACTERS
CRD134A	CAM JONES - GREG SIMS
CRD134B	PSYCHO - HUNTER PLATIN
CRD134C	MAUDE THE ICE CREAM LADY - JANE GENNARO
CRD134D	JETHRO - JOHN ZURHELLEN
CRD134E	GONZALES - JORGE PUPO
CRD134F	DWAYNE - NAVID KHONSARI
CRD134G	DICK - PETER MCKAY
CRD134H	MIKE THE GOON & PORN GUY - ROBERT CIHRA
CRD134I	PERCY - RUSSELL FOREMAN
CRD136A	TECHNICAL DIRECTION BY ALEX HORTON
CRD137A	DIRECTED BY NAVID KHONSARI
CRD138A	PRODUCED BY JAMIE KING
CRD138B	RENAUD SEBBANE
CRD140A	BLAYNE PERRY
CRD140B	JONATHON SALE
CRD140C	CHARLES TUCKER
CRD140D	EDDIE MARRERO
CRD140E	WILLIAM MCCALL
CRD140F	JORGE PUPO
CRD140G	ROBERT JACKSON
CRD140H	TARA RADCLIFFE
CRD140I	JENIFER GAMBETESE
CRD140J	KRIS ACHEVARRIA
CRD140K	ALI ORDOUBADI
CRD140L	KAHLEEM POOLE
CRD141A	WRITTEN BY DAN HOUSER, MARC FERNANDEZ, GILLIAN TELLING AND NAVID KHONSARI
CRD141B	WITH HELP FROM JEREMY POPE, LANCE WILLIAMS, AND JENNY JEMISON
CRD142A	DAN HOUSER AND JAMES WORRALL
CRD218A	HEINZ HENN
CRD218B	STUART ROSS
CRD229A	TONI-MARIA CHAMBERS
CRD229B	IMAGING VOICE AND PRODUCTION-JEFF BERLIN
CRD251A	THE POND
CRD252A	PIVO
CRD344A	AUDIO RECORDED AT DIGITAL ARTS STUDIOS,
CRD345A	SYNC SOUND, NYC AND RADIO LAZLOW, LONG ISLAND.
CREAM	贩卖任务
CRED001	ROCKSTAR NORTH制作 基于无名汉化补丁汉化
CRED002	PRODUCER
CRED003	LESLIE BENZIES
CRED004	ART DIRECTOR
CRED005	AARON GARBUT
CRED006	TECHNICAL DIRECTORS
CRED007	OBBE VERMEIJ
CRED008	ADAM FOWLER
CRED009	MISSION DESIGN
CRED010	ANDREW DUTHIE
CRED011	CRAIG FILSHIE
CRED012	WILLIAM MILLS
CRED013	CHRIS ROTHWELL
CRED014	WRITTEN BY
CRED015	JAMES WORRALL
CRED016	PAUL KUROWSKI
CRED017	DAN HOUSER
CRED018	LEAD CHARACTER DESIGNER
CRED019	IAN MCQUE
CRED020	LEAD ANIMATOR
CRED021	ALEX HORTON
CRED022	LEE MONTGOMERY
CRED023	VEHICLE DESIGNERS
CRED024	PAUL KUROWSKI
CRED025	MAP DESIGNERS
CRED026	ADAM COCHRANE
CRED027	NIK TAYLOR
CRED028	GARY MCADAM
CRED029	KEIRAN BAILLIE
CRED030	ALISDAIR WOOD
CRED031	ANDREW SOOSAY
CRED032	LEAD PROGRAMMER
CRED033	ALEXANDER ROGER
CRED034	GRAEME WILLIAMSON
CRED035	BARANE CHAN
CRED036	DEREK PAYNE
CRED037	GORDON YEOMAN
CRED038	LEAD MUSIC PRODUCER
CRED039	CRAIG CONNER
CRED040	STUART ROSS
CRED041	LEAD AUDIO ENGINEER
CRED042	ALLAN WALKER
CRED043	AUDIO PROGRAMMER
CRED044	RAYMOND USHER
CRED045	TEST MANAGER
CRED046	CRAIG ARBUTHNOTT
CRED047	LEAD QA
CRED048	NEIL CORBETT
CRED049	KEVIN WONG
CRED050	QA
CRED051	DAVID BEDDOES
CRED052	DAVID WATSON
CRED053	BARRY CLARK
CRED054	ROSS SPARROW
CRED055	JAMES ALLAN
CRED056	NEIL MEIKLE
CRED057	LEAD TECHNICAL SUPPORT
CRED058	LORRAINE ROY
CRED059	CHRISTINE CHALMERS
CRED060	ROCKSTAR NEW YORK
CRED061	EXECUTIVE PRODUCER
CRED062	SAM HOUSER
CRED063	PRODUCER
CRED064	DAN HOUSER
CRED065	VP OF DEVELOPMENT
CRED066	JAMIE KING
CRED067	CHIEF TECHNOLOGY OFFICER
CRED068	GARY J. FOREMAN
CRED069	ASSOCIATE PRODUCER
CRED070	JEREMY POPE
CRED071	MUSIC SUPERVISOR
CRED072	TERRY DONOVAN
CRED073	PRODUCTION TEAM
CRED074	TERRY DONOVAN
CRED075	JENNIFER KOLBE
CRED076	JENEFER GROSS
CRED077	LAURA PATERSON
CRED078	JEFF CASTANEDA
CRED079	JERONIMO BARRERA
CRED080	CARLY SLATER
CRED081	JUNG KWAK
CRED082	BRIAN WOOD
CRED083	RENAUD SEBANNE
CRED084	RICHARD KRUGER
CRED085	KENT PAUL'S 80 NOSTALGIA ZONE
CRED086	WRITTEN BY DAN HOUSER
CRED087	WWW.KENTPAUL.COM AND WWW.VICECITY.COM
CRED088	CREATED BY
CRED089	QA MANAGER
CRED090	CRAIG ARBUTHNOTT
CRED091	LEAD ANALYST
CRED092	ADAM DAVIDSON
CRED093	GAME ANALYST
CRED094	RICHARD HUIE
CRED095	ROCKSTAR TEST TEAM
CRED096	LANCE WILLIAMS
CRED097	JOE GREENE
CRED098	BRIAN PLANER
CRED099	LEE CUMMINGS
CRED100	STORY
CRED101	JAMES WORRALL
CRED102	DAN HOUSER
CRED103	ADAM TEDMAN
CRED104	PAUL YEATES
CRED105	JENEFER GROSS
CRED106	LAURA PATERSON
CRED107	CUT SCENES
CRED108	WRITTEN BY DAN HOUSER AND JAMES WORRALL
CRED109	AUDIO DIRECTED BY DAN HOUSER AND NAVID KHONSARI
CRED110	PRODUCED BY JAMIE KING
CRED111	CAST
CRED112	TOMMY VERCETTI - RAY LIOTTA
CRED113	KEN ROSENBERG - WILLIAN FICHTNER
CRED114	SONNY FORELLI - TOM SIZEMORE
CRED115	STEVE SCOTT - DENNIS HOPPER
CRED116	AVERY CARRINGTON - BURT REYNOLDS
CRED117	RICARDO DIAZ - LUIS GUZMAN
CRED118	LANCE VANCE - PHILIP MICHAEL THOMAS
CRED119	COLONEL JUAN CORTEZ - ROBERT DAVI
CRED120	UMBERTO ROBINA - DANNY TREJO
CRED121	PHIL CASSIDY - GARY BUSEY
CRED122	MITCH BAKER - LEE MAJORS
CRED123	MERCEDES CORTEZ - FAIRUZA BALK
CRED124	KENT PAUL - DANNY DYER
CRED125	JEZZ TORRENT - KEVIN MCKIDD
CRED126	TAXI CONTROLLER - DEBORAH HARRY
CRED127	CANDY SUXXX - JENNA JAMESON
CRED128	BJ SMITH - LAWRENCE TAYLOR
CRED129	AUNTIE POULET - YOUREE CLEOMILI HARRIS
CRED130	SUPPLIER - ARMANDO RIESCO
CRED131	COUGAR - BLAYNE PERRY
CRED132	HILARY - CHARLES TUCKER
CRED133	CONGRESSMAN ALEX SHRUB - CHRIS LUCAS
CRED134	OLD MAN KELLY - GEORGE DICENZO
CRED135	MOTION CAPTURE
CRED136	ANIMATED BY
CRED137	DIRECTED BY
CRED138	PRODUCED BY
CRED139	RECORDED AT PERSPECTIVE STUDIOS, BROOKLYN
CRED140	MOTION CAPTURE ACTORS
CRED141	PEDESTRIAN DIALOGUE
CRED142	WRITTEN BY
CRED143	DIRECTED BY DAN HOUSER, CRAIG CONNER, MARC FERNANDEZ, AND ALLAN WALKER
CRED144	PRODUCED BY RENAUD SEBANNE
CRED145	PEDESTRIANS
CRED146	ADAM DAVIDSON, ADAM WATKINS, ALEJANDRO K. BROWN, ALEX ANTHONY SIOUKAS, ALEX GARCIA,
CRED147	ALICE SALTZMAN, ALISON CIHRA, AMY SALIMA, AMY SALZMAN, ANDREA VIDELA, ANTHONY ATTI,
CRED148	ANTHONY RIVERA, BIJAN SHAMS, BLAYNE PERRY, BRETT BISOGNO, BREYE MATA, BRIAN PANEN,
CRED149	BROCK VODER, CAREY BERTINI, CHARISSE LAMBERT, CHRIS DIFAT, CHRIS REISENBERGER,
CRED150	CHRISTOPHER BRODAY, CHRISTOPHER CARRO, CYNTHIA GREENE, DAMARIES LOPEZ, DAN LEE,
CRED151	DAN SCHNEIDER, DAN TOYAMA, DAVID DEAN CHALTFIELD, JR., DAVID HARRISON, DAVID WILEY,
CRED152	DEBORAH COLLINS, DEBRANDA CHANEY-GILES, DEMETRA KOUKOULAS, DENISE ROSADO,
CRED153	DEVIN BENNETT, DEVIN WINTERBOTTOM, DORIS WOO, DOUGLAS HARRISON, DUNCAN COUTTS,
CRED154	DUPE AJAYI, EDWIN AVELLANEDA, ELIZABETH HOWELL, ELIZABETH SATTERWHITE, ERIC NAGLE,
CRED155	ESTEBAN KARPLUS, F. FONT, FUTABA HAYASHI, GENE HILGREEN, GERALD COSGROVE,
CRED156	GERARD LUNA, GILLIAN TELLING, GREGG CARLUCCI, GREGORY CLERVOIX, GREGORY SCHWEIZER,
CRED157	HADLEY TOMICKI, J. ROSSETT, JAMEEL VEGA, JASON JONES, JEFF ROSA, JENNIFER JEMISON,
CRED158	JEREMY TAGGERT, JESSICA RIDER, JOSEPH GREENE,JOSEPH HOWELL, KATE DUKICH,
CRED159	KEL O'NEILL, KEVIN HOPKINS, LADAWN JAMES, LANCE WILLIAMS, LAURA BUBBLES,
CRED160	LAURA PATTERSON, LEE CUMMINGS, LETICIA L. YOUNG, LINDSAY KENNEDY, LISA ORITZ,
CRED161	LORNA JORDAN, LUCIO AMADIO, MARCO FERNANDEZ, MARIKO TANAKA, MARLON MATTHEWS,
CRED162	MARY TELLING, MASAYOSHI MITSUYAMA, MATTHEW CHUNG, MAX ALLSTADT, MAX BOGDANOV,
CRED163	MELISSA ALVAREZ, MICHAEL MAY, MICHAEL ROTHSTEIN, MIGUEL VIDAL, MIKE FEDERLINE,
CRED164	NATALIE DESCALZO, N'GAI MEMBERS, NICOLAS MALLO, NOELLE SADLER, NORBERT MORIVAN,
CRED165	OSWALD GREENE, JR., PETER MCKAY, PETER APPEL, PRESTON SAVARESE, Rafael GONZALES,
CRED166	RANDY JOHNSON, REY CONCEPCION, RICHARD KROGER, ROB TIBBS, ROBERT JACKSON,
CRED167	ROBERT SCHULER, ROSS A. MCINTYRE, RUSSELL FOREMAN, RUTH NUNEZ, SALVADORE SUAZO,
CRED168	SAM WHITE, SANTOS GONZALES, SCOTT SMITH, SEYMOUR FRAILMAN, SPELMAN BRAUMAN,
CRED169	STEPHANIE TELLING, STEVE KNEZEVICH, STEVE ROBERT, SUMIKO YASUDA, SUSAN LEWIS,
CRED170	SYLVIA COLACIOS, TOMOKO MIYAZAKI, TRON, VERDEL HALE, YVES MONDESIR, ZENO LEINFELDER,
CRED171	DAVID BEDDOES, CHRISTINE CHALMERS, BARRY CLARK, NEIL CORBETT, KIM GURNEY, NEIL MEIKLE,
CRED172	CASSIE OLIVER, LORRAINE ROY, DAVID WATSON, KEVIN WONG, WILL MORTON
CRED175	ADAM DAVIDSON
CRED176	LANCE WILLIAMS
CRED177	NEIL MCCAFFREY
CRED178	LAURA PATERSON
CRED179	REY CONCEPCION
CRED180	CHARLES HEROLD
CRED181	ANDREW GREENWALD
CRED182	JAMES MIELKE
CRED183	PETER SUCIU
CRED184	ALEX ODULIO
CRED185	DON NKRUMAH
CRED186	KENDALL PITTMAN
CRED187	SAL SUAZO
CRED188	EREK MATEO
CRED189	CHRIS DIFATE
CRED190	LEILA MILTON
CRED191	DARREN ZOLTOWSKI
CRED192	VIRGINIA SMITH
CRED193	KEVIN CASSIN
CRED194	JASON SHIGEMORI
CRED195	KELLY KINSELLA
CRED196	MOLLIE STICKNEY
CRED197	STANTON SARJEANT
CRED198	LAURA WALSH
CRED199	MARK GARONE
CRED200	JOANNA SLY
CRED201	ELIZABETH HOWELL
CRED202	ANA HERCULES
CRED203	SHIRLEY IRICK
CRED204	KASHONA FIELDS
CRED205	JOEL M. LILJE
CRED206	JOHN DIBENEDETTO
CRED207	NANCY GILES
CRED208	RYAN CROY
CRED209	JENNIFER KOLBE
CRED210	LIAM BURKE
CRED211	SIGRID PREISSL
CRED212	ANITA FITZSIMONS
CRED213	PHILIPPA RASELLI
CRED214	WIL QUESNEL
CRED215	FALKO BURKERT
CRED216	SARA SEWELL
CRED217	RADIO STATIONS AND MUSIC
CRED218	MUSIC CONSULTANCY
CRED219	SOUNDTRACK CO-ORDINATOR
CRED220	TERRY DONOVAN
